,code,content_code,user_code,text,watched_at,likes_count,replies_count,spoiler,improper,replyable,created_at,user.code,user.name,user.photo.original,user.photo.large,user.photo.small,user.watcha_play_user,user.official_user,user_content_action.rating,user_content_action.status,user_content_action.mehed,user_content_action.watched_at,user_content_action.user_code,user_content_action.content_code
37,j7kQzmB8YqMl4,mWqJYmB,nkPvr2oAOvgar,긍정 메세지를 보내는데. 공감이 안된다. 설명으로 넘어 갈려는 것이 너무 많으니 소설이라 해야 하나?? 어린이용이든 뭐든 실망이 너무 큰 작품였음.,,22,0,False,False,True,2020-01-12T01:50:09+09:00,nkPvr2oAOvgar,조현수,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1586075632/o5ujrpjtgekhghhxqiec.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1586075632/o5ujrpjtgekhghhxqiec.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1586075632/o5ujrpjtgekhghhxqiec.jpg",False,False,3.0,,False,,nkPvr2oAOvgar,mWqJYmB
38,Vw8MLrWZzDEel,mWqJYmB,YaR5YWE6BqgX1,"차라리 스타워즈 2번 본다
아무리 전체 이용가라 해도 할리우드 틀에 1CM라도 벗어나지 않았다는게 매우 아쉽다",,21,0,False,False,True,2020-01-13T12:54:41+09:00,YaR5YWE6BqgX1,송현석,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1576084128/qgaepgvydllym4qmel7d.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1576084128/qgaepgvydllym4qmel7d.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1576084128/qgaepgvydllym4qmel7d.jpg",True,False,4.0,,False,,YaR5YWE6BqgX1,mWqJYmB
39,lP0E8JjeWdMbx,mWqJYmB,3BnvwoAwjvPAY,"급하게 예매하느라 입관할 때쯤에 더빙판인 걸 알았다...
그래도 더빙판도 매력적이라 나쁘지 않았다.
너무 뻔한 아동용 설정들이 많았지만, 동물들이 귀엽고...동물들이 귀여우며...동물들이 귀엽다.",,21,2,False,False,True,2020-01-13T02:43:21+09:00,3BnvwoAwjvPAY,지윤,,https://images.watcha.net/user/596458/large/3619a943ea9ce97ac9b2ad6377966e5a2afe68ae,https://images.watcha.net/user/596458/small/3619a943ea9ce97ac9b2ad6377966e5a2afe68ae,True,False,6.0,,False,,3BnvwoAwjvPAY,mWqJYmB
40,zD82XGORzVE53,mWqJYmB,87Gv7DaBG5E6o,동물들이 뭐라고 하는지 굳이 알아야 할 필요가 없다. 용가리 관장해 주는 일 말고는 진부한 모험의 연속이다.,2020-01-11T12:46:05+09:00,21,7,False,False,True,2020-01-11T13:27:21+09:00,87Gv7DaBG5E6o,송주환,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1591392512/dblk1vudbenfnswxecdp.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1591392512/dblk1vudbenfnswxecdp.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1591392512/dblk1vudbenfnswxecdp.jpg",True,False,4.0,,False,2020-01-11T12:46:05+09:00,87Gv7DaBG5E6o,mWqJYmB
41,kpeQKqKxGX2YN,mWqJYmB,WwRqo1nZy5lzB,"어렸을때 봤던 두리틀.
.
그때에 비하면 기술력의 수준이 높았지만, 희망을 주는 영화임은 그대로. 
그때의 반가운 기억이 좋았다.",,21,0,False,False,True,2020-01-10T13:10:43+09:00,WwRqo1nZy5lzB,uNme,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1580313249/ku0tjgj5apiqmg1svm1j.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1580313249/ku0tjgj5apiqmg1svm1j.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1580313249/ku0tjgj5apiqmg1svm1j.jpg",True,False,6.0,,False,,WwRqo1nZy5lzB,mWqJYmB
42,xplMdJp9eLE4o,mWqJYmB,67gdxdWMy5GYJ,"내가 동물과 소통할 수 있는 능력이 있다면?
우리 집 냥이에게 딱 한 가지만 묻겠다!!
너는 왜 물건들은 다 피해서 걸어 다니면서
나는 왜 밟고 다니는 것이냐??? 응? 응??",2020-02-15T05:29:33+09:00,20,3,False,False,True,2020-02-15T05:32:23+09:00,67gdxdWMy5GYJ,Be,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1591657077/fqbewkdmjgei4pvgz7n6.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1591657077/fqbewkdmjgei4pvgz7n6.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1591657077/fqbewkdmjgei4pvgz7n6.jpg",True,False,6.0,,False,2020-02-15T05:29:33+09:00,67gdxdWMy5GYJ,mWqJYmB
43,Vw8MLreepDEel,mWqJYmB,nb4xkapaGvOAz,이제 아이언맨 슈트를 입지 않은 로버트 다우니 주니어 배우의 모습도 많이 보고싶다.,,19,0,False,False,True,2019-10-14T13:24:43+09:00,nb4xkapaGvOAz,송경택,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1591011959/swn7iaozpyomizbokbw3.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1591011959/swn7iaozpyomizbokbw3.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1591011959/swn7iaozpyomizbokbw3.jpg",True,False,,wished,False,,nb4xkapaGvOAz,mWqJYmB
44,BglQapoLVWMX0,mWqJYmB,4WLxZoXQrqroA,90년대 동명의 영화 두리틀보다 더 재미없을 수가.. 좋아하는 배우들 목소리와 좋아하는배우들 잔치인데 이게 무슨일이야 감독들도 아동용도 요즘은 수준높다는걸 알아줬으면..😞,,18,0,False,False,True,2020-03-15T16:45:11+09:00,4WLxZoXQrqroA,MJ Yoon,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1595003949/tqqxbkfzfkm6vyxnofie.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1595003949/tqqxbkfzfkm6vyxnofie.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1595003949/tqqxbkfzfkm6vyxnofie.jpg",True,False,4.0,,False,,4WLxZoXQrqroA,mWqJYmB
45,P7kEWa3LokMJ9,mWqJYmB,87Gv7B6DVqE6o,"귀여우면 장땡,,,
초반에 동화처럼 그림으로 나오는데 너무 괜찮아서 그런 버전으로 봤어도 좋았을듯,,,,",2020-01-11T17:16:39+09:00,18,0,False,False,True,2020-01-20T17:21:28+09:00,87Gv7B6DVqE6o,이수현,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1516727918/msv6eplmxmc4jtjfuqqy.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1516727918/msv6eplmxmc4jtjfuqqy.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1516727918/msv6eplmxmc4jtjfuqqy.jpg",True,False,8.0,,False,2020-01-11T17:16:39+09:00,87Gv7B6DVqE6o,mWqJYmB
46,rdVMNl1RvbEql,mWqJYmB,2mwvgZAyQqMa7,에디머피가 그립다 200215,,17,0,False,False,True,2020-02-16T21:11:41+09:00,2mwvgZAyQqMa7,ㄱ강현우,https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/v1504951439/nccctserxcntfg8k2lhz.jpg,"https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_300,w_300/v1504951439/nccctserxcntfg8k2lhz.jpg","https://dhgywazgeek0d.cloudfront.net/watcha/image/upload/c_fill,h_100,w_100/v1504951439/nccctserxcntfg8k2lhz.jpg",False,False,2.0,,False,,2mwvgZAyQqMa7,mWqJYmB
